"Label (Grouping)","Galloway township, Atlantic County, New Jersey!!Total!!Estimate","Galloway township, Atlantic County, New Jersey!!Total!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Male!!Estimate","Galloway township, Atlantic County, New Jersey!!Male!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent Male!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent Male!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Female!!Estimate","Galloway township, Atlantic County, New Jersey!!Female!!Margin of Error","Galloway township, Atlantic County, New Jersey!!Percent Female!!Estimate","Galloway township, Atlantic County, New Jersey!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","5,586","±583","(X)","(X)","2,455","±314","(X)","(X)","3,131","±489","(X)","(X)"
"        Less than high school graduate","183","±144","3.3%","±2.6","57","±52","2.3%","±2.0","126","±137","4.0%","±4.3"
"        High school graduate (includes equivalency)","808","±203","14.5%","±3.7","518","±172","21.1%","±6.2","290","±100","9.3%","±3.6"
"        Some college or associate's degree","4,063","±554","72.7%","±5.5","1,632","±258","66.5%","±7.8","2,431","±477","77.6%","±6.6"
"        Bachelor's degree or higher","532","±233","9.5%","±4.0","248","±137","10.1%","±5.3","284","±154","9.1%","±4.9"
"    Population 25 years and over","26,033","±736","(X)","(X)","12,490","±554","(X)","(X)","13,543","±584","(X)","(X)"
"        Less than 9th grade","918","±297","3.5%","±1.2","433","±210","3.5%","±1.7","485","±179","3.6%","±1.3"
"        9th to 12th grade, no diploma","1,284","±310","4.9%","±1.2","839","±239","6.7%","±2.0","445","±156","3.3%","±1.2"
"        High school graduate (includes equivalency)","8,053","±797","30.9%","±2.9","3,852","±588","30.8%","±4.2","4,201","±487","31.0%","±3.3"
"        Some college, no degree","4,982","±636","19.1%","±2.3","2,381","±442","19.1%","±3.5","2,601","±401","19.2%","±2.7"
"        Associate's degree","2,607","±466","10.0%","±1.7","1,307","±360","10.5%","±2.8","1,300","±308","9.6%","±2.2"
"        Bachelor's degree","5,379","±587","20.7%","±2.3","2,463","±389","19.7%","±3.2","2,916","±430","21.5%","±3.0"
"        Graduate or professional degree","2,810","±469","10.8%","±1.8","1,215","±296","9.7%","±2.4","1,595","±411","11.8%","±3.0"
"        High school graduate or higher","23,831","±897","91.5%","±1.8","11,218","±665","89.8%","±2.6","12,613","±647","93.1%","±1.9"
"        Bachelor's degree or higher","8,189","±673","31.5%","±2.6","3,678","±456","29.4%","±3.7","4,511","±512","33.3%","±3.5"
"    Population 25 to 34 years","4,794","±697","(X)","(X)","2,354","±474","(X)","(X)","2,440","±372","(X)","(X)"
"        High school graduate or higher","4,517","±671","94.2%","±3.2","2,158","±444","91.7%","±6.0","2,359","±378","96.7%","±2.7"
"        Bachelor's degree or higher","2,019","±417","42.1%","±6.5","689","±195","29.3%","±9.1","1,330","±347","54.5%","±10.3"
"    Population 35 to 44 years","3,389","±494","(X)","(X)","1,701","±408","(X)","(X)","1,688","±287","(X)","(X)"
"        High school graduate or higher","3,072","±448","90.6%","±6.0","1,463","±414","86.0%","±10.0","1,609","±275","95.3%","±4.5"
"        Bachelor's degree or higher","1,151","±262","34.0%","±8.3","437","±158","25.7%","±9.9","714","±227","42.3%","±11.7"
"    Population 45 to 64 years","10,511","±705","(X)","(X)","5,159","±432","(X)","(X)","5,352","±488","(X)","(X)"
"        High school graduate or higher","9,905","±698","94.2%","±1.9","4,787","±446","92.8%","±2.9","5,118","±478","95.6%","±2.2"
"        Bachelor's degree or higher","3,027","±454","28.8%","±4.0","1,480","±315","28.7%","±5.4","1,547","±324","28.9%","±5.4"
"    Population 65 years and over","7,339","±557","(X)","(X)","3,276","±383","(X)","(X)","4,063","±380","(X)","(X)"
"        High school graduate or higher","6,337","±557","86.3%","±3.4","2,810","±365","85.8%","±5.1","3,527","±399","86.8%","±4.3"
"        Bachelor's degree or higher","1,992","±402","27.1%","±4.6","1,072","±308","32.7%","±7.8","920","±212","22.6%","±4.5"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","19,131","±960","(X)","(X)","9,035","±652","(X)","(X)","10,096","±613","(X)","(X)"
"        High school graduate or higher","18,229","±989","95.3%","±1.4","8,485","±686","93.9%","±2.2","9,744","±602","96.5%","±1.3"
"        Bachelor's degree or higher","6,264","±595","32.7%","±3.1","2,797","±381","31.0%","±4.4","3,467","±469","34.3%","±4.2"
"    White alone, not Hispanic or Latino","17,906","±992","(X)","(X)","8,515","±693","(X)","(X)","9,391","±587","(X)","(X)"
